City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,38.26,61,99,20.42,TF,1714867657
1,kachug,53.9606,105.8817,54.05,59,85,1.01,RU,1714867658
2,avarua,-21.2078,-159.775,84.25,79,75,8.05,CK,1714867507
3,lihue,21.9789,-159.3672,81.64,75,100,21.85,US,1714867440
4,nar'yan-mar,67.6713,53.087,7.11,100,98,4.0,RU,1714867661
5,utrik,11.2278,169.8474,81.64,74,91,15.3,MH,1714867661
6,grytviken,-54.2811,-36.5092,31.87,78,11,11.14,GS,1714867552
7,belmonte,-15.8631,-38.8828,76.86,86,10,7.49,BR,1714867663
8,puerto natales,-51.7236,-72.4875,33.93,78,70,8.57,CL,1714867664
9,yeraliyev,43.2,51.65,59.49,73,92,3.58,KZ,1714867665
10,yellowknife,62.456,-114.3525,47.41,66,0,8.05,CA,1714867577
11,longyearbyen,78.2186,15.6401,21.04,79,20,6.91,SJ,1714867586
12,tolanaro,-25.0319,46.9987,70.23,65,76,12.88,MG,1714867667
13,alaca,40.1683,34.8425,45.52,95,100,3.91,TR,1714867668
14,vila franca do campo,37.7167,-25.4333,64.89,99,83,8.72,PT,1714867669
15,invercargill,-46.4,168.35,50.02,87,57,10.0,NZ,1714867446
16,ust-nera,64.5667,143.2,34.39,81,95,3.09,RU,1714867670
17,atafu village,-8.5421,-172.5159,84.25,78,100,6.02,TK,1714867671
18,fale old settlement,-9.3852,-171.2468,84.2,74,100,5.08,TK,1714867672
19,vadso,70.0744,29.7487,31.08,86,100,14.97,NO,1714867673
20,san antonio de pale,-1.4014,5.6325,81.73,85,22,8.05,GQ,1714867674
21,adamstown,-25.066,-130.1015,69.91,64,35,19.6,PN,1714867545
22,labuan,5.2767,115.2417,82.26,76,89,8.7,MY,1714867675
23,puerto santa,-8.9906,-78.6456,67.75,86,18,8.43,PE,1714867676
24,chinsali,-10.5414,32.0816,59.09,80,98,4.34,ZM,1714867677
25,port elizabeth,-33.918,25.5701,64.09,85,55,1.99,ZA,1714867678
